Date,Price,Open,High,Low,Vol.,Change %,Year
2023-10-13,4327.78,"4,360.49","4,377.10","4,311.97",,-0.5,2023
2023-10-12,4349.61,"4,380.94","4,385.85","4,325.43",,-0.62,2023
2023-10-11,4376.95,"4,366.59","4,378.64","4,345.34",,0.43,2023
2023-10-10,4358.24,"4,339.75","4,385.46","4,339.64",,0.52,2023
2023-10-09,4335.66,"4,289.02","4,341.73","4,283.79",,0.63,2023
2023-10-06,4308.5,"4,234.79","4,324.10","4,219.55",,1.18,2023
2023-10-05,4258.19,"4,259.31","4,267.13","4,225.91",,-0.13,2023
2023-10-04,4263.75,"4,233.83","4,268.50","4,220.48",,0.81,2023
2023-10-03,4229.45,"4,269.75","4,281.15","4,216.45",,-1.37,2023
2023-10-02,4288.39,"4,284.52","4,300.58","4,260.21",,0.01,2023
2023-09-29,4288.05,"4,328.18","4,333.15","4,274.86",,-0.27,2023
2023-09-28,4299.7,"4,269.65","4,317.27","4,264.38",,0.59,2023
2023-09-27,4274.51,"4,282.63","4,292.07","4,238.63",,0.02,2023
2023-09-26,4273.53,"4,312.88","4,313.01","4,265.98",,-1.47,2023
2023-09-25,4337.44,"4,310.62","4,338.51","4,302.70",,0.4,2023
2023-09-22,4320.06,"4,341.74","4,357.40","4,316.49",,-0.23,2023
2023-09-21,4330.0,"4,374.36","4,375.70","4,329.17",,-1.64,2023
2023-09-20,4402.2,"4,452.81","4,461.03","4,401.38",,-0.94,2023
2023-09-19,4443.95,"4,445.41","4,449.85","4,416.61",,-0.22,2023
2023-09-18,4453.53,"4,445.13","4,466.36","4,442.11",,0.07,2023
2023-09-15,4450.32,"4,497.98","4,497.98","4,447.21",,-1.22,2023
2023-09-14,4505.1,"4,487.78","4,511.99","4,478.69",,0.84,2023
2023-09-13,4467.44,"4,462.65","4,479.39","4,453.52",,0.12,2023
2023-09-12,4461.9,"4,473.27","4,487.11","4,456.83",,-0.57,2023
2023-09-11,4487.46,"4,480.98","4,490.77","4,467.89",,0.67,2023
2023-09-08,4457.49,"4,451.30","4,473.53","4,448.38",,0.14,2023
2023-09-07,4451.14,"4,434.55","4,457.81","4,430.46",,-0.32,2023
2023-09-06,4465.48,"4,490.35","4,490.35","4,442.38",,-0.7,2023
2023-09-05,4496.83,"4,510.06","4,514.29","4,496.01",,-0.42,2023
2023-09-01,4515.77,"4,530.60","4,541.25","4,501.35",,0.18,2023
2023-08-31,4507.66,"4,517.01","4,532.26","4,507.39",,-0.16,2023
2023-08-30,4514.87,"4,500.34","4,521.65","4,493.59",,0.38,2023
2023-08-29,4497.63,"4,432.75","4,500.14","4,431.68",,1.45,2023
2023-08-28,4433.31,"4,426.03","4,439.56","4,414.98",,0.63,2023
2023-08-25,4405.71,"4,389.38","4,418.46","4,356.29",,0.67,2023
2023-08-24,4376.31,"4,455.16","4,458.30","4,375.55",,-1.35,2023
2023-08-23,4436.01,"4,396.44","4,443.18","4,396.44",,1.1,2023
2023-08-22,4387.55,"4,415.33","4,418.59","4,382.77",,-0.28,2023
2023-08-21,4399.77,"4,380.28","4,407.55","4,360.30",,0.69,2023
2023-08-18,4369.71,"4,344.88","4,381.82","4,335.31",,-0.01,2023
2023-08-17,4370.36,"4,416.32","4,421.17","4,364.83",,-0.77,2023
2023-08-16,4404.33,"4,433.79","4,449.95","4,403.55",,-0.76,2023
2023-08-15,4437.86,"4,478.87","4,478.87","4,432.19",,-1.16,2023
2023-08-14,4489.72,"4,458.13","4,490.33","4,453.44",,0.58,2023
2023-08-11,4464.05,"4,450.69","4,476.23","4,443.98",,-0.11,2023
2023-08-10,4468.83,"4,487.16","4,527.37","4,457.92",,0.03,2023
2023-08-09,4467.71,"4,501.57","4,502.44","4,461.33",,-0.7,2023
2023-08-08,4499.38,"4,498.03","4,503.31","4,464.39",,-0.42,2023
2023-08-07,4518.44,"4,491.58","4,519.84","4,491.15",,0.9,2023
2023-08-04,4478.03,"4,513.96","4,540.34","4,474.55",,-0.53,2023
2023-08-03,4501.89,"4,494.27","4,519.49","4,485.54",,-0.25,2023
2023-08-02,4513.39,"4,550.93","4,550.93","4,505.75",,-1.38,2023
2023-08-01,4576.73,"4,578.83","4,584.62","4,567.53",,-0.27,2023
2023-07-31,4588.96,"4,584.82","4,594.22","4,573.14",,0.15,2023
2023-07-28,4582.23,"4,565.75","4,590.16","4,564.01",,0.99,2023
2023-07-27,4537.41,"4,598.26","4,607.07","4,528.56",,-0.64,2023
2023-07-26,4566.75,"4,558.96","4,582.47","4,547.58",,-0.02,2023
2023-07-25,4567.46,"4,555.19","4,580.62","4,552.42",,0.28,2023
2023-07-24,4554.64,"4,543.39","4,563.41","4,541.29",,0.4,2023
2023-07-21,4536.34,"4,550.16","4,555.00","4,535.79",,0.03,2023
2023-07-20,4534.87,"4,554.38","4,564.74","4,527.56",,-0.68,2023
2023-07-19,4565.72,"4,563.87","4,578.43","4,557.48",,0.24,2023
2023-07-18,4554.98,"4,521.78","4,562.30","4,514.59",,0.71,2023
2023-07-17,4522.79,"4,508.86","4,532.85","4,504.90",,0.39,2023
2023-07-14,4505.42,"4,514.61","4,527.76","4,499.56",,-0.1,2023
2023-07-13,4510.04,"4,491.50","4,517.38","4,489.36",,0.85,2023
2023-07-12,4472.16,"4,467.69","4,488.34","4,463.23",,0.74,2023
2023-07-11,4439.26,"4,415.55","4,443.64","4,408.46",,0.67,2023
2023-07-10,4409.53,"4,394.23","4,412.60","4,389.92",,0.24,2023
2023-07-07,4398.95,"4,404.54","4,440.39","4,397.40",,-0.29,2023
2023-07-06,4411.59,"4,422.62","4,422.62","4,385.05",,-0.79,2023
2023-07-05,4446.82,"4,442.04","4,454.06","4,436.61",,-0.2,2023
2023-07-03,4455.59,"4,450.48","4,456.46","4,442.29",,0.12,2023
2023-06-30,4450.38,"4,422.44","4,458.48","4,422.44",,1.23,2023
2023-06-29,4396.44,"4,374.94","4,398.39","4,371.97",,0.45,2023
2023-06-28,4376.86,"4,367.48","4,390.35","4,360.22",,-0.04,2023
2023-06-27,4378.41,"4,337.36","4,384.42","4,335.00",,1.15,2023
2023-06-26,4328.82,"4,344.84","4,362.06","4,328.08",,-0.45,2023
2023-06-23,4348.33,"4,354.17","4,366.55","4,341.34",,-0.77,2023
2023-06-22,4381.89,"4,355.40","4,382.25","4,351.82",,0.37,2023
2023-06-21,4365.69,"4,380.01","4,386.22","4,360.14",,-0.52,2023
2023-06-20,4388.71,"4,396.11","4,400.15","4,367.19",,-0.47,2023
2023-06-16,4409.59,"4,440.95","4,448.47","4,407.44",,-0.37,2023
2023-06-15,4425.84,"4,365.33","4,439.20","4,362.60",,1.22,2023
2023-06-14,4372.59,"4,366.29","4,391.82","4,337.85",,0.08,2023
2023-06-13,4369.01,"4,352.61","4,375.37","4,349.31",,0.69,2023
2023-06-12,4338.93,"4,308.32","4,340.13","4,304.37",,0.93,2023
2023-06-09,4298.86,"4,304.88","4,322.62","4,291.70",,0.11,2023
2023-06-08,4293.93,"4,268.69","4,298.01","4,261.07",,0.62,2023
2023-06-07,4267.52,"4,285.47","4,299.19","4,263.96",,-0.38,2023
2023-06-06,4283.85,"4,271.34","4,288.33","4,263.09",,0.24,2023
2023-06-05,4273.79,"4,282.99","4,299.28","4,266.82",,-0.2,2023
2023-06-02,4282.37,"4,241.01","4,290.67","4,241.01",,1.45,2023
2023-06-01,4221.02,"4,183.03","4,232.43","4,171.64",,0.99,2023
2023-05-31,4179.83,"4,190.74","4,195.44","4,166.15",,-0.61,2023
2023-05-30,4205.52,"4,226.71","4,231.10","4,192.18",,0.0,2023
2023-05-26,4205.45,"4,156.16","4,212.87","4,156.16",,1.3,2023
2023-05-25,4151.28,"4,155.71","4,165.74","4,129.73",,0.88,2023
2023-05-24,4115.24,"4,132.96","4,132.96","4,103.98",,-0.73,2023
2023-05-23,4145.58,"4,176.80","4,185.68","4,142.54",,-1.12,2023
2023-05-22,4192.63,"4,190.78","4,209.22","4,179.68",,0.02,2023
2023-05-19,4191.98,"4,204.15","4,212.91","4,180.20",,-0.14,2023
2023-05-18,4198.05,"4,157.68","4,202.20","4,153.50",,0.94,2023
2023-05-17,4158.77,"4,122.85","4,164.67","4,113.62",,1.19,2023
2023-05-16,4109.9,"4,127.95","4,135.54","4,109.86",,-0.64,2023
2023-05-15,4136.28,"4,126.65","4,141.25","4,110.27",,0.3,2023
2023-05-12,4124.08,"4,138.54","4,143.74","4,099.12",,-0.16,2023
2023-05-11,4130.62,"4,132.24","4,132.80","4,109.29",,-0.17,2023
2023-05-10,4137.64,"4,143.74","4,154.28","4,098.92",,0.45,2023
2023-05-09,4119.17,"4,124.25","4,130.35","4,116.65",,-0.46,2023
2023-05-08,4138.12,"4,136.98","4,142.30","4,123.81",,0.05,2023
2023-05-05,4136.25,"4,084.73","4,147.02","4,084.73",,1.85,2023
2023-05-04,4061.22,"4,082.55","4,082.61","4,048.28",,-0.72,2023
2023-05-03,4090.75,"4,122.25","4,148.30","4,088.86",,-0.7,2023
2023-05-02,4119.58,"4,164.10","4,164.10","4,089.72",,-1.16,2023
2023-05-01,4167.87,"4,166.79","4,186.92","4,164.12",,-0.04,2023
2023-04-28,4169.48,"4,129.63","4,170.06","4,127.18",,0.83,2023
2023-04-27,4135.35,"4,075.29","4,138.24","4,075.29",,1.96,2023
2023-04-26,4055.99,"4,087.78","4,089.67","4,049.35",,-0.38,2023
2023-04-25,4071.63,"4,126.43","4,126.43","4,071.38",,-1.58,2023
2023-04-24,4137.04,"4,132.07","4,142.41","4,117.77",,0.09,2023
2023-04-21,4133.52,"4,132.14","4,138.02","4,113.86",,0.09,2023
2023-04-20,4129.79,"4,130.48","4,148.57","4,114.57",,-0.6,2023
2023-04-19,4154.52,"4,139.33","4,162.57","4,134.49",,-0.01,2023
2023-04-18,4154.87,"4,164.26","4,169.48","4,140.36",,0.09,2023
2023-04-17,4151.32,"4,137.17","4,151.72","4,123.18",,0.33,2023
2023-04-14,4137.64,"4,140.11","4,163.19","4,113.20",,-0.21,2023
2023-04-13,4146.22,"4,100.04","4,150.26","4,099.40",,1.33,2023
2023-04-12,4091.95,"4,121.72","4,134.37","4,086.94",,-0.41,2023
2023-04-11,4108.94,"4,110.29","4,124.26","4,102.61",,0.0,2023
2023-04-10,4109.11,"4,085.20","4,109.50","4,072.55",,0.1,2023
2023-04-06,4105.02,"4,081.15","4,107.32","4,069.84",,0.36,2023
2023-04-05,4090.38,"4,094.50","4,099.69","4,072.56",,-0.25,2023
2023-04-04,4100.6,"4,128.03","4,133.13","4,086.87",,-0.58,2023
2023-04-03,4124.51,"4,102.20","4,127.66","4,098.79",,0.37,2023
2023-03-31,4109.31,"4,056.18","4,110.75","4,056.18",,1.44,2023
2023-03-30,4050.83,"4,046.74","4,057.85","4,032.10",,0.57,2023
2023-03-29,4027.81,"3,999.53","4,030.59","3,999.53",,1.42,2023
2023-03-28,3971.27,"3,974.13","3,979.20","3,951.53",,-0.16,2023
2023-03-27,3977.53,"3,982.93","4,003.83","3,970.49",,0.16,2023
2023-03-24,3970.99,"3,939.21","3,972.74","3,909.16",,0.56,2023
2023-03-23,3948.72,"3,959.21","4,007.66","3,919.05",,0.3,2023
2023-03-22,3936.97,"4,002.04","4,039.49","3,936.17",,-1.65,2023
2023-03-21,4002.87,"3,975.89","4,009.08","3,971.19",,1.3,2023
2023-03-20,3951.57,"3,917.47","3,956.62","3,916.89",,0.89,2023
2023-03-17,3916.64,"3,958.69","3,958.91","3,901.27",,-1.1,2023
2023-03-16,3960.28,"3,878.93","3,964.46","3,864.11",,1.76,2023
2023-03-15,3891.93,"3,876.74","3,894.26","3,838.24",,-0.7,2023
2023-03-14,3919.29,"3,894.01","3,937.29","3,873.63",,1.65,2023
2023-03-13,3855.76,"3,835.12","3,905.05","3,808.86",,-0.15,2023
2023-03-10,3861.59,"3,912.77","3,934.05","3,846.32",,-1.45,2023
2023-03-09,3918.32,"3,998.66","4,017.81","3,908.70",,-1.85,2023
2023-03-08,3992.01,"3,987.55","4,000.41","3,969.76",,0.14,2023
2023-03-07,3986.37,"4,048.26","4,050.00","3,980.31",,-1.53,2023
2023-03-06,4048.42,"4,055.15","4,078.49","4,044.61",,0.07,2023
2023-03-03,4045.64,"3,998.02","4,048.29","3,995.17",,1.61,2023
2023-03-02,3981.35,"3,938.68","3,990.84","3,928.16",,0.76,2023
2023-03-01,3951.39,"3,963.34","3,971.73","3,939.05",,-0.47,2023
2023-02-28,3970.15,"3,977.19","3,997.50","3,968.98",,-0.3,2023
2023-02-27,3982.24,"3,992.36","4,018.05","3,973.55",,0.31,2023
2023-02-24,3970.04,"3,973.24","3,978.25","3,943.08",,-1.05,2023
2023-02-23,4012.32,"4,018.60","4,028.30","3,969.19",,0.53,2023
2023-02-22,3991.05,"4,001.83","4,017.37","3,976.90",,-0.16,2023
2023-02-21,3997.34,"4,052.35","4,052.35","3,995.19",,-2.0,2023
2023-02-17,4079.09,"4,077.39","4,081.51","4,047.95",,-0.28,2023
2023-02-16,4090.41,"4,114.75","4,136.54","4,089.49",,-1.38,2023
2023-02-15,4147.6,"4,119.50","4,148.11","4,103.98",,0.28,2023
2023-02-14,4136.13,"4,126.70","4,159.77","4,095.01",,-0.03,2023
2023-02-13,4137.29,"4,096.62","4,138.90","4,092.67",,1.14,2023
2023-02-10,4090.46,"4,068.92","4,094.36","4,060.79",,0.22,2023
2023-02-09,4081.5,"4,144.25","4,156.23","4,069.67",,-0.88,2023
2023-02-08,4117.86,"4,153.47","4,156.85","4,111.67",,-1.11,2023
2023-02-07,4164.0,"4,105.35","4,176.54","4,088.39",,1.29,2023
2023-02-06,4111.08,"4,119.57","4,124.63","4,093.38",,-0.61,2023
2023-02-03,4136.48,"4,136.69","4,182.36","4,123.36",,-1.04,2023
2023-02-02,4179.76,"4,158.68","4,195.44","4,141.88",,1.47,2023
2023-02-01,4119.21,"4,070.07","4,148.95","4,037.20",,1.05,2023
2023-01-31,4076.6,"4,020.85","4,077.16","4,020.44",,1.46,2023
2023-01-30,4017.77,"4,049.27","4,063.85","4,015.55",,-1.3,2023
2023-01-27,4070.56,"4,053.72","4,094.21","4,048.70",,0.25,2023
2023-01-26,4060.43,"4,036.08","4,061.57","4,013.29",,1.1,2023
2023-01-25,4016.22,"3,982.71","4,019.55","3,949.06",,-0.02,2023
2023-01-24,4016.95,"4,001.74","4,023.92","3,989.79",,-0.07,2023
2023-01-23,4019.81,"3,978.14","4,039.31","3,971.64",,1.19,2023
2023-01-20,3972.61,"3,909.04","3,972.96","3,897.86",,1.89,2023
2023-01-19,3898.85,"3,911.84","3,922.94","3,885.54",,-0.76,2023
2023-01-18,3928.86,"4,002.25","4,014.16","3,926.59",,-1.56,2023
2023-01-17,3990.97,"3,999.28","4,015.39","3,984.57",,-0.2,2023
2023-01-13,3999.09,"3,960.60","4,003.95","3,947.67",,0.4,2023
2023-01-12,3983.17,"3,977.57","3,997.76","3,937.56",,0.34,2023
2023-01-11,3969.61,"3,932.35","3,970.07","3,928.54",,1.28,2023
2023-01-10,3919.25,"3,888.57","3,919.83","3,877.29",,0.7,2023
2023-01-09,3892.09,"3,910.82","3,950.57","3,890.42",,-0.08,2023
2023-01-06,3895.08,"3,823.37","3,906.19","3,809.56",,2.28,2023
2023-01-05,3808.1,"3,839.74","3,839.74","3,802.42",,-1.16,2023
2023-01-04,3852.97,"3,840.36","3,873.16","3,815.77",,0.75,2023
2023-01-03,3824.14,"3,853.29","3,878.46","3,794.33",,-0.4,2023
2022-12-30,3839.5,"3,829.06","3,839.85","3,800.34",,-0.25,2022
2022-12-29,3849.28,"3,805.45","3,858.19","3,805.45",,1.75,2022
2022-12-28,3783.22,"3,829.56","3,848.32","3,780.78",,-1.2,2022
2022-12-27,3829.25,"3,843.34","3,846.65","3,813.22",,-0.4,2022
2022-12-23,3844.82,"3,815.11","3,845.80","3,797.01",,0.59,2022
2022-12-22,3822.39,"3,853.26","3,853.26","3,764.49",,-1.45,2022
2022-12-21,3878.44,"3,839.49","3,889.82","3,839.49",,1.49,2022
2022-12-20,3821.62,"3,810.47","3,838.24","3,795.62",,0.1,2022
2022-12-19,3817.66,"3,853.79","3,854.86","3,800.04",,-0.9,2022
2022-12-16,3852.36,"3,890.91","3,890.91","3,827.91",,-1.11,2022
2022-12-15,3895.75,"3,958.37","3,958.37","3,879.45",,-2.49,2022
2022-12-14,3995.32,"4,015.54","4,053.76","3,965.65",,-0.61,2022
2022-12-13,4019.65,"4,069.38","4,100.96","3,993.03",,0.73,2022
2022-12-12,3990.56,"3,939.29","3,990.71","3,935.30",,1.43,2022
2022-12-09,3934.38,"3,954.17","3,977.02","3,933.04",,-0.73,2022
2022-12-08,3963.51,"3,947.79","3,974.19","3,935.83",,0.75,2022
2022-12-07,3933.92,"3,933.28","3,957.57","3,922.68",,-0.19,2022
2022-12-06,3941.26,"3,996.63","4,001.51","3,918.39",,-1.44,2022
2022-12-05,3998.84,"4,052.02","4,052.45","3,984.49",,-1.79,2022
2022-12-02,4071.7,"4,040.17","4,080.48","4,026.63",,-0.12,2022
2022-12-01,4076.57,"4,087.14","4,100.51","4,050.87",,-0.09,2022
2022-11-30,4080.11,"3,957.18","4,080.11","3,938.58",,3.09,2022
2022-11-29,3957.63,"3,964.19","3,976.77","3,937.65",,-0.16,2022
2022-11-28,3963.94,"4,005.36","4,012.27","3,955.77",,-1.54,2022
2022-11-25,4026.12,"4,023.34","4,034.02","4,020.76",,-0.03,2022
2022-11-23,4027.26,"4,000.30","4,033.78","3,998.66",,0.59,2022
2022-11-22,4003.58,"3,965.51","4,005.88","3,956.88",,1.36,2022
2022-11-21,3949.94,"3,956.23","3,962.00","3,933.34",,-0.39,2022
2022-11-18,3965.34,"3,966.39","3,979.89","3,935.98",,0.48,2022
2022-11-17,3946.56,"3,919.26","3,954.33","3,906.54",,-0.31,2022
2022-11-16,3958.79,"3,976.82","3,983.09","3,954.34",,-0.83,2022
2022-11-15,3991.73,"4,006.41","4,028.84","3,953.17",,0.87,2022
2022-11-14,3957.25,"3,977.97","4,008.97","3,956.40",,-0.89,2022
2022-11-11,3992.93,"3,963.72","4,001.48","3,944.82",,0.92,2022
2022-11-10,3956.37,"3,859.89","3,958.33","3,859.89",,5.54,2022
2022-11-09,3748.57,"3,810.94","3,818.20","3,744.22",,-2.08,2022
2022-11-08,3828.11,"3,817.02","3,859.40","3,786.28",,0.56,2022
2022-11-07,3806.8,"3,780.71","3,813.95","3,764.70",,0.96,2022
2022-11-04,3770.55,"3,766.98","3,796.34","3,708.84",,1.36,2022
2022-11-03,3719.89,"3,733.25","3,750.59","3,698.15",,-1.06,2022
2022-11-02,3759.69,"3,852.90","3,894.44","3,758.68",,-2.5,2022
2022-11-01,3856.1,"3,901.79","3,911.79","3,843.80",,-0.41,2022
2022-10-31,3871.98,"3,881.85","3,893.73","3,863.18",,-0.75,2022
2022-10-28,3901.06,"3,808.26","3,905.42","3,808.26",,2.46,2022
2022-10-27,3807.3,"3,834.69","3,859.95","3,803.79",,-0.61,2022
2022-10-26,3830.6,"3,825.97","3,886.15","3,824.07",,-0.74,2022
2022-10-25,3859.11,"3,799.44","3,862.85","3,799.44",,1.63,2022
2022-10-24,3797.34,"3,762.01","3,810.74","3,741.65",,1.19,2022
2022-10-21,3752.75,"3,657.10","3,757.89","3,647.42",,2.37,2022
2022-10-20,3665.78,"3,689.05","3,736.00","3,656.44",,-0.8,2022
2022-10-19,3695.16,"3,703.11","3,728.58","3,666.51",,-0.67,2022
2022-10-18,3719.98,"3,746.26","3,762.79","3,686.53",,1.14,2022
2022-10-17,3677.95,"3,638.65","3,689.73","3,638.65",,2.65,2022
2022-10-14,3583.07,"3,690.41","3,712.00","3,579.68",,-2.37,2022
2022-10-13,3669.91,"3,520.37","3,685.41","3,491.58",,2.6,2022
2022-10-12,3577.03,"3,590.83","3,608.34","3,573.86",,-0.33,2022
2022-10-11,3588.84,"3,595.86","3,640.66","3,568.45",,-0.65,2022
2022-10-10,3612.39,"3,647.51","3,652.17","3,588.10",,-0.75,2022
2022-10-07,3639.66,"3,706.74","3,706.74","3,620.73",,-2.8,2022
2022-10-06,3744.52,"3,771.97","3,797.93","3,739.22",,-1.02,2022
2022-10-05,3783.28,"3,753.25","3,806.91","3,722.66",,-0.2,2022
2022-10-04,3790.93,"3,726.46","3,791.92","3,726.46",,3.06,2022
2022-10-03,3678.43,"3,609.78","3,698.35","3,604.93",,2.59,2022
2022-09-30,3585.62,"3,633.48","3,671.44","3,584.13",,-1.51,2022
2022-09-29,3640.47,"3,687.01","3,687.01","3,610.40",,-2.11,2022
2022-09-28,3719.04,"3,651.94","3,736.74","3,640.61",,1.97,2022
2022-09-27,3647.29,"3,686.44","3,717.53","3,623.29",,-0.21,2022
2022-09-26,3655.04,"3,682.72","3,715.67","3,644.76",,-1.03,2022
2022-09-23,3693.23,"3,727.14","3,727.14","3,647.47",,-1.72,2022
2022-09-22,3757.99,"3,782.36","3,790.90","3,749.45",,-0.84,2022
2022-09-21,3789.93,"3,871.40","3,907.07","3,789.49",,-1.71,2022
2022-09-20,3855.93,"3,875.23","3,876.01","3,827.54",,-1.13,2022
2022-09-19,3899.89,"3,849.91","3,900.45","3,838.50",,0.69,2022
2022-09-16,3873.33,"3,880.95","3,880.95","3,837.08",,-0.72,2022
2022-09-15,3901.35,"3,932.41","3,959.14","3,888.28",,-1.13,2022
2022-09-14,3946.01,"3,940.73","3,961.94","3,912.18",,0.34,2022
2022-09-13,3932.69,"4,037.12","4,037.12","3,921.28",,-4.32,2022
2022-09-12,4110.41,"4,083.67","4,119.28","4,083.67",,1.06,2022
2022-09-09,4067.36,"4,022.94","4,076.81","4,022.94",,1.53,2022
2022-09-08,4006.18,"3,959.94","4,010.50","3,944.81",,0.66,2022
2022-09-07,3979.87,"3,909.43","3,987.89","3,906.03",,1.83,2022
2022-09-06,3908.19,"3,930.89","3,942.55","3,886.75",,-0.41,2022
2022-09-02,3924.26,"3,994.66","4,018.43","3,906.21",,-1.07,2022
2022-09-01,3966.85,"3,936.73","3,970.23","3,903.65",,0.3,2022
2022-08-31,3955.0,"4,000.67","4,015.37","3,954.53",,-0.78,2022
2022-08-30,3986.16,"4,041.25","4,044.98","3,965.21",,-1.1,2022
2022-08-29,4030.61,"4,034.58","4,062.99","4,017.42",,-0.67,2022
2022-08-26,4057.66,"4,198.74","4,203.04","4,057.66",,-3.37,2022
2022-08-25,4199.12,"4,153.26","4,200.54","4,147.59",,1.41,2022
2022-08-24,4140.77,"4,126.55","4,156.56","4,119.97",,0.29,2022
2022-08-23,4128.73,"4,133.09","4,159.77","4,124.03",,-0.22,2022
2022-08-22,4137.99,"4,195.08","4,195.08","4,129.86",,-2.14,2022
2022-08-19,4228.48,"4,266.31","4,266.31","4,218.70",,-1.29,2022
2022-08-18,4283.74,"4,273.13","4,292.53","4,261.98",,0.23,2022
2022-08-17,4274.04,"4,280.40","4,302.18","4,253.08",,-0.72,2022
2022-08-16,4305.2,"4,290.46","4,325.28","4,277.77",,0.19,2022
2022-08-15,4297.14,"4,269.37","4,301.79","4,256.90",,0.4,2022
2022-08-12,4280.15,"4,225.02","4,280.47","4,219.78",,1.73,2022
2022-08-11,4207.27,"4,227.40","4,257.91","4,201.41",,-0.07,2022
2022-08-10,4210.24,"4,181.02","4,211.03","4,177.26",,2.13,2022
2022-08-09,4122.47,"4,133.11","4,137.30","4,112.09",,-0.42,2022
2022-08-08,4140.06,"4,155.93","4,186.62","4,128.97",,-0.12,2022
2022-08-05,4145.19,"4,115.87","4,151.58","4,107.31",,-0.16,2022
2022-08-04,4151.94,"4,154.85","4,161.29","4,135.42",,-0.08,2022
2022-08-03,4155.17,"4,107.96","4,167.66","4,107.96",,1.56,2022
2022-08-02,4091.19,"4,104.21","4,140.47","4,079.81",,-0.67,2022
2022-08-01,4118.63,"4,112.38","4,144.95","4,096.02",,-0.28,2022
2022-07-29,4130.29,"4,087.33","4,140.15","4,079.22",,1.42,2022
2022-07-28,4072.43,"4,026.13","4,078.95","3,992.97",,1.21,2022
2022-07-27,4023.61,"3,951.43","4,039.56","3,951.43",,2.62,2022
2022-07-26,3921.05,"3,953.22","3,953.22","3,910.74",,-1.15,2022
2022-07-25,3966.84,"3,965.72","3,975.30","3,943.46",,0.13,2022
2022-07-22,3961.63,"3,998.43","4,012.44","3,938.86",,-0.93,2022
2022-07-21,3998.95,"3,955.47","3,999.29","3,927.64",,0.99,2022
2022-07-20,3959.9,"3,935.32","3,974.13","3,922.03",,0.59,2022
2022-07-19,3936.69,"3,860.73","3,939.81","3,860.73",,2.76,2022
2022-07-18,3830.85,"3,883.79","3,902.44","3,818.63",,-0.84,2022
2022-07-15,3863.16,"3,818.00","3,863.62","3,817.18",,1.92,2022
2022-07-14,3790.38,"3,763.99","3,796.41","3,721.56",,-0.3,2022
2022-07-13,3801.78,"3,779.67","3,829.44","3,759.07",,-0.45,2022
2022-07-12,3818.8,"3,851.95","3,873.41","3,802.36",,-0.92,2022
2022-07-11,3854.43,"3,880.94","3,880.94","3,847.22",,-1.15,2022
2022-07-08,3899.38,"3,888.26","3,918.50","3,869.34",,-0.08,2022
2022-07-07,3902.62,"3,858.85","3,910.63","3,858.85",,1.5,2022
2022-07-06,3845.08,"3,831.98","3,870.91","3,809.37",,0.36,2022
2022-07-05,3831.39,"3,792.61","3,832.19","3,742.06",,0.16,2022
2022-07-01,3825.33,"3,781.00","3,829.82","3,752.10",,1.06,2022
2022-06-30,3785.38,"3,785.99","3,818.99","3,738.67",,-0.88,2022
2022-06-29,3818.83,"3,825.09","3,836.50","3,799.02",,-0.07,2022
2022-06-28,3821.55,"3,913.00","3,945.86","3,820.14",,-2.01,2022
2022-06-27,3900.11,"3,920.76","3,927.72","3,889.66",,-0.3,2022
2022-06-24,3911.74,"3,821.75","3,913.65","3,821.75",,3.06,2022
2022-06-23,3795.73,"3,774.71","3,802.58","3,743.52",,0.95,2022
2022-06-22,3759.89,"3,733.89","3,801.79","3,717.69",,-0.13,2022
2022-06-21,3764.79,"3,715.31","3,779.65","3,715.31",,2.45,2022
2022-06-17,3674.84,"3,665.90","3,707.71","3,636.87",,0.22,2022
2022-06-16,3666.77,"3,728.18","3,728.18","3,639.77",,-3.25,2022
2022-06-15,3789.99,"3,764.05","3,837.56","3,722.30",,1.46,2022
2022-06-14,3735.48,"3,763.52","3,778.18","3,705.68",,-0.38,2022
2022-06-13,3749.63,"3,838.15","3,838.15","3,734.30",,-3.88,2022
2022-06-10,3900.86,"3,974.39","3,974.39","3,900.16",,-2.91,2022
2022-06-09,4017.82,"4,101.65","4,119.10","4,017.17",,-2.38,2022
2022-06-08,4115.77,"4,147.12","4,160.14","4,107.20",,-1.08,2022
2022-06-07,4160.68,"4,096.47","4,164.86","4,080.19",,0.95,2022
2022-06-06,4121.43,"4,134.72","4,168.78","4,109.18",,0.31,2022
2022-06-03,4108.54,"4,137.57","4,142.67","4,098.67",,-1.63,2022
2022-06-02,4176.82,"4,095.41","4,177.51","4,074.37",,1.84,2022
2022-06-01,4101.23,"4,149.78","4,166.54","4,073.85",,-0.75,2022
2022-05-31,4132.15,"4,151.09","4,168.34","4,104.88",,-0.63,2022
2022-05-27,4158.24,"4,077.43","4,158.49","4,077.43",,2.47,2022
2022-05-26,4057.84,"3,984.60","4,075.14","3,984.60",,1.99,2022
2022-05-25,3978.73,"3,929.59","3,999.33","3,925.03",,0.95,2022
2022-05-24,3941.48,"3,942.94","3,955.68","3,875.13",,-0.81,2022
2022-05-23,3973.75,"3,919.42","3,981.88","3,909.04",,1.86,2022
2022-05-20,3901.36,"3,927.76","3,943.42","3,810.32",,0.01,2022
2022-05-19,3900.79,"3,899.00","3,945.96","3,876.58",,-0.58,2022
